   Список проверок                |  Статус
1. Регистрация                    | 
  Email                           | Passed
  Соцсети                         | Failed
  Валидация полей                 | Passed
2. Авторизация                    |
  Пользователь активирован        | Passed
  Пользователь не активирован     | Passed
  Восстановление пароля           | Passed
  Валидация полей                 | Passed
3. Профиль                        |
  Изменение имени                 | Passed
  Именение email                  | Failed
  Изменение пароля                | Failed
  Валидация полей                 | Passed
  Подписка                        | Failed
  Удаление аккаунта               | Passed
